Papeleria La Grandiosa
Reporte anual de ventas 2018

Fecha	Cuenta	Depto	Suma
03/12/2018	65690	110	-$31.64
03/12/2018	65700	110	-$59.98
03/12/2018	65710	110	-$517.28
03/12/2018	65730	110	-$0.84
03/12/2018	65740	110	-$433.45
03/12/2018	65750	110	-$544.58
03/12/2018	65760	110	-$6.29
03/12/2018	66010	130	-$2.03
03/12/2018	66020	130	-$27.26
03/12/2018	66040	130	-$7.95
03/12/2018	66050	130	-$40.89
03/12/2018	66070	130	-$0.28
03/12/2018	66080	130	-$2.03
03/12/2018	66100	130	-$4.43
03/12/2018	66110	130	-$0.42
03/12/2018	66120	130	-$1.55
03/12/2018	66130	130	-$63.11
03/12/2018	66140	130	$11.42
03/12/2018	66510	140	-$6.54
03/12/2018	66520	140	-$1.72
03/12/2018	66530	140	-$6.93
03/12/2018	68050	170	$0.31
03/12/2018	68060	170	-$42.54
03/12/2018	71010	120	$362.91
03/12/2018	71020	120	$929.93
03/12/2018	71030	120	-$46.84
03/12/2018	71050	120	$60.45
03/12/2018	71060	120	-$77.37
03/12/2018	71070	120	-$1.74
03/12/2018	71080	120	$22.71
03/12/2018	71160	150	$80.46
03/12/2018	71170	150	$111.34
03/12/2018	71180	150	$269.10
03/12/2018	71190	150	-$0.20
03/12/2018	71200	150	$20.42
03/12/2018	71240	150	$584.91
03/12/2018	71299	150	-$13.14
03/12/2018	71310	150	"$1,157.84"
03/12/2018	71325	150	-$419.65
03/12/2018	71550	150	$281.84
03/12/2018	71560	140	$80.00
03/12/2018	72010	110	"$1,994.53"
03/12/2018	72020	110	"$2,358.28"
03/12/2018	72040	130	$345.25
03/12/2018	72050	140	$91.91
03/12/2018	72060	150	"$1,970.39"
03/12/2018	72070	150	"$2,113.00"
03/12/2018	72090	150	$976.47
03/12/2018	72110	160	"$2,160.44"
03/12/2018	72120	160	"$2,291.43"
03/12/2018	72130	160	$129.33
03/12/2018	72140	160	$580.30
03/12/2018	72150	165	"$1,645.64"
03/12/2018	72160	170	"$1,206.45"
03/12/2018	72999	150	-$236.06
03/12/2018	73010	110	$129.64
03/12/2018	73010	130	$17.00
03/12/2018	73010	140	$6.93
03/12/2018	73010	150	$129.46
03/12/2018	73010	160	$136.33
03/12/2018	73010	165	$64.14
03/12/2018	73010	170	$108.56
03/12/2018	73020	110	$65.55
03/12/2018	73020	130	$8.80
03/12/2018	73020	140	$3.53
03/12/2018	73020	150	$76.41
03/12/2018	73020	160	$62.34
03/12/2018	73020	165	$27.50
03/12/2018	73020	170	$14.56
03/12/2018	73030	110	$180.00
03/12/2018	73030	150	$348.00
03/12/2018	73030	160	$148.00
03/12/2018	73030	165	$56.00
03/12/2018	73035	110	$137.45
03/12/2018	73035	150	$122.91
03/12/2018	73035	160	$173.29
03/12/2018	73035	165	$51.13
03/12/2018	73035	170	$44.76
03/12/2018	73040	110	$157.20
03/12/2018	73040	150	$214.80
03/12/2018	73040	160	$111.60
03/12/2018	73040	165	$32.40
03/12/2018	73050	110	$37.75
03/12/2018	73050	130	$3.40
03/12/2018	73050	140	$1.34
03/12/2018	73050	150	$51.86
03/12/2018	73050	160	$51.04
03/12/2018	73050	165	$16.70
03/12/2018	73050	170	$14.62
03/12/2018	73060	150	$36.07
03/12/2018	80990	110	"$1,309.37"
03/12/2018	81010	110	$47.00
03/12/2018	81050	160	$137.00
03/12/2018	81090	160	$3.87
03/12/2018	81100	160	$159.98
03/12/2018	81110	160	$17.14
03/12/2018	81140	160	$121.36
03/12/2018	81150	160	$109.59
03/12/2018	81170	160	$25.94
03/12/2018	81180	160	-$824.00
03/12/2018	81190	160	$2.96
03/12/2018	81200	160	$6.29
03/12/2018	81210	160	$42.71
03/12/2018	81220	160	$44.74
03/12/2018	81230	160	$45.58
03/12/2018	81260	160	$76.03
03/12/2018	81270	160	$240.69
03/12/2018	81280	160	$62.20
03/12/2018	81350	160	$9.43
03/12/2018	81900	165	$255.04
03/12/2018	82010	130	$387.89
03/12/2018	82050	150	$77.86
03/12/2018	82060	170	$432.42
03/12/2018	82070	150	$64.96
03/12/2018	82080	170	$28.38
03/12/2018	83010	170	$97.96
03/12/2018	83020	130	$80.00
03/12/2018	83020	160	$202.62
03/12/2018	83020	170	$250.96
03/12/2018	83030	150	$165.43
03/12/2018	83050	170	$255.62
03/12/2018	83060	170	$64.73
03/12/2018	83070	170	$172.47
03/12/2018	84020	130	$199.80
03/12/2018	84020	170	$161.45
03/12/2018	85010	170	$99.31
03/12/2018	85510	170	$538.71
03/12/2018	86010	110	$189.38
03/12/2018	86010	130	$7.20
03/12/2018	86010	150	$310.12
03/12/2018	86010	160	$51.23
03/12/2018	86010	165	$94.37
03/12/2018	86010	170	$2.70
03/12/2018	86020	110	$30.86
03/12/2018	86020	150	$18.70
03/12/2018	86030	110	-$107.12
03/12/2018	86030	150	$24.95
03/12/2018	86040	110	$364.79
03/12/2018	86040	150	$252.62
03/12/2018	86050	110	$112.62
03/12/2018	86050	150	$56.12
03/12/2018	86050	160	$29.28
03/12/2018	86090	160	$78.00
03/12/2018	86100	110	$127.47
03/12/2018	86100	150	$40.83
03/12/2018	86100	160	$37.87
03/12/2018	86100	170	$56.63
03/12/2018	86150	110	$103.13
03/12/2018	86180	140	$55.33
03/12/2018	86200	110	$29.85
03/12/2018	86200	160	$27.76
03/12/2018	86260	120	$17.74
03/12/2018	86270	150	$71.78
03/12/2018	86280	150	$9.28
03/12/2018	86290	150	$161.12
03/12/2018	86290	170	$38.69
03/12/2018	86310	150	$92.24
03/12/2018	86330	150	$305.41
03/12/2018	86350	150	-$20.68
03/12/2018	86360	150	$50.00
03/12/2018	86420	170	$62.61
03/12/2018	86450	170	$80.11
03/12/2018	86820	170	$30.83
04/12/2018	61510	150	-$22.07
04/12/2018	61520	150	-$151.82
04/12/2018	61530	150	-$12.40
04/12/2018	61540	150	-$0.92
04/12/2018	61550	150	-$61.87
04/12/2018	61560	150	-$1.60
04/12/2018	61570	150	-$127.03
04/12/2018	62010	150	-$283.84
04/12/2018	62020	150	-$241.45
04/12/2018	62099	150	$18.41
04/12/2018	62510	120	-$70.58
04/12/2018	62520	120	-$73.52
04/12/2018	62530	120	$2.73
04/12/2018	62550	120	-$15.50
04/12/2018	62560	120	-$1.45
04/12/2018	63050	150	-$10.87
04/12/2018	64000	150	$180.71
04/12/2018	64010	150	$1.88
04/12/2018	64020	150	$0.83
04/12/2018	65540	110	-$72.39
04/12/2018	65550	110	-$31.14
04/12/2018	65590	110	-$6.05
04/12/2018	65600	110	-$12.03
04/12/2018	65610	110	-$26.33
04/12/2018	65650	110	-$1.94
04/12/2018	65690	110	-$31.64
04/12/2018	65700	110	-$59.98
04/12/2018	65710	110	-$517.28
04/12/2018	65730	110	-$0.84
04/12/2018	65740	110	-$433.45
04/12/2018	65750	110	-$544.58
04/12/2018	65760	110	-$6.29
04/12/2018	66010	130	-$2.03
04/12/2018	66020	130	-$27.26
04/12/2018	66040	130	-$7.95
04/12/2018	66050	130	-$40.89
04/12/2018	66070	130	-$0.28
04/12/2018	66080	130	-$2.03
04/12/2018	66100	130	-$4.43
04/12/2018	66110	130	-$0.42
04/12/2018	66120	130	-$1.55
04/12/2018	66130	130	-$63.11
04/12/2018	66140	130	$11.42
04/12/2018	66510	140	-$6.54
04/12/2018	66520	140	-$1.72
04/12/2018	66530	140	-$6.93
04/12/2018	68050	170	$0.31
04/12/2018	68060	170	-$42.54
05/12/2018	61510	150	-$29.42
05/12/2018	61520	150	-$202.42
05/12/2018	61530	150	-$16.53
05/12/2018	61540	150	-$1.22
05/12/2018	61550	150	-$82.50
05/12/2018	61560	150	-$2.13
05/12/2018	61570	150	-$169.37
05/12/2018	62010	150	-$378.45
05/12/2018	62020	150	-$321.93
05/12/2018	62099	150	$24.54
05/12/2018	62510	120	-$94.10
05/12/2018	62520	120	-$98.03
05/12/2018	62530	120	$3.65
05/12/2018	62550	120	-$20.66
05/12/2018	62560	120	-$1.94
05/12/2018	63050	150	-$14.49
05/12/2018	64000	150	$240.94
05/12/2018	64010	150	$2.50
05/12/2018	64020	150	$1.11
05/12/2018	65540	110	-$96.52
05/12/2018	65550	110	-$41.52
05/12/2018	65590	110	-$8.06
05/12/2018	65600	110	-$16.04
05/12/2018	65610	110	-$35.10
05/12/2018	65650	110	-$2.59
05/12/2018	65690	110	-$42.19
05/12/2018	65700	110	-$79.97
05/12/2018	65710	110	-$689.71
05/12/2018	65730	110	-$1.13
05/12/2018	65740	110	-$577.93
05/12/2018	65750	110	-$726.10
05/12/2018	65760	110	-$8.39
05/12/2018	66010	130	-$2.70
05/12/2018	66020	130	-$36.35
05/12/2018	66040	130	-$10.60
05/12/2018	66050	130	-$54.52
05/12/2018	66070	130	-$0.37
05/12/2018	66080	130	-$2.70
05/12/2018	66100	130	-$5.91
05/12/2018	66110	130	-$0.56
05/12/2018	66120	130	-$2.07
05/12/2018	66130	130	-$84.15
05/12/2018	66140	130	$15.22
05/12/2018	66510	140	-$8.72
05/12/2018	66520	140	-$2.29
05/12/2018	66530	140	-$9.23
05/12/2018	68050	170	$0.41
05/12/2018	68060	170	-$56.72
06/12/2018	61510	150	-$69.32
06/12/2018	61520	150	-$404.10
06/12/2018	61530	150	-$29.34
06/12/2018	61540	150	-$1.34
06/12/2018	61550	150	-$108.33
06/12/2018	61560	150	-$3.12
06/12/2018	61570	150	-$119.58
06/12/2018	62010	150	-$326.62
06/12/2018	62020	150	"-$1,131.84"
06/12/2018	62099	150	$9.95
06/12/2018	62510	120	-$223.38
06/12/2018	62520	120	-$147.45
06/12/2018	62530	120	-$28.70
06/12/2018	62550	120	-$17.41
06/12/2018	62560	120	-$1.16
06/12/2018	63050	150	-$12.18
06/12/2018	64000	150	$152.18
06/12/2018	64010	150	$49.65
06/12/2018	65540	110	-$195.01
06/12/2018	65550	110	-$22.49
06/12/2018	65570	110	-$4.14
06/12/2018	65590	110	-$3.41
06/12/2018	65600	110	-$15.83
06/12/2018	65610	110	-$32.48
06/12/2018	65690	110	-$44.24
06/12/2018	65700	110	-$21.10
06/12/2018	65710	110	-$777.84
06/12/2018	65730	110	-$1.27
06/12/2018	65740	110	-$612.36
06/12/2018	65750	110	-$818.88
06/12/2018	65760	110	-$9.46
06/12/2018	66020	130	-$66.04
06/12/2018	66040	130	-$3.78
06/12/2018	66050	130	-$44.32
06/12/2018	66070	130	-$1.00
06/12/2018	66080	130	-$3.05
06/12/2018	66090	130	-$6.50
06/12/2018	66100	130	-$6.68
06/12/2018	66110	130	-$0.63
06/12/2018	66120	130	-$2.34
06/12/2018	66130	130	-$94.95
06/12/2018	66510	140	-$7.12
06/12/2018	66520	140	-$5.17
06/12/2018	66530	140	-$15.20
06/12/2018	66550	140	-$63.78
06/12/2018	68050	170	$2.93
06/12/2018	68060	170	-$63.96
07/12/2018	61510	150	-$64.54
07/12/2018	61520	150	-$376.23
07/12/2018	61530	150	-$27.32
07/12/2018	61540	150	-$1.25
07/12/2018	61550	150	-$100.86
07/12/2018	61560	150	-$2.91
07/12/2018	61570	150	-$111.33
07/12/2018	62010	150	-$304.10
07/12/2018	62020	150	"-$1,053.79"
07/12/2018	62099	150	$9.26
07/12/2018	62510	120	-$207.97
07/12/2018	62520	120	-$137.28
07/12/2018	62530	120	-$26.72
07/12/2018	62550	120	-$16.21
07/12/2018	62560	120	-$1.09
07/12/2018	63050	150	-$11.34
07/12/2018	64000	150	$141.68
07/12/2018	64010	150	$46.23
07/12/2018	65540	110	-$181.56
07/12/2018	65550	110	-$20.94
07/12/2018	65570	110	-$3.86
07/12/2018	65590	110	-$3.18
07/12/2018	65600	110	-$14.74
07/12/2018	65610	110	-$30.24
07/12/2018	65690	110	-$41.19
07/12/2018	65700	110	-$19.64
07/12/2018	65710	110	-$724.19
07/12/2018	65730	110	-$1.18
07/12/2018	65740	110	-$570.13
07/12/2018	65750	110	-$762.41
07/12/2018	65760	110	-$8.80
07/12/2018	66020	130	-$61.48
07/12/2018	66040	130	-$3.52
07/12/2018	66050	130	-$41.27
07/12/2018	66070	130	-$0.93
07/12/2018	66080	130	-$2.84
07/12/2018	66090	130	-$6.05
07/12/2018	66100	130	-$6.22
07/12/2018	66110	130	-$0.59
07/12/2018	66120	130	-$2.17
07/12/2018	66130	130	-$88.40
07/12/2018	66510	140	-$6.63
07/12/2018	66520	140	-$4.81
07/12/2018	66530	140	-$14.16
07/12/2018	66550	140	-$59.39
07/12/2018	68050	170	$2.72
07/12/2018	68060	170	-$59.55
08/12/2018	61510	150	-$64.54
08/12/2018	61520	150	-$376.23
08/12/2018	61530	150	-$27.32
08/12/2018	61540	150	-$1.25
08/12/2018	61550	150	-$100.86
08/12/2018	61560	150	-$2.91
08/12/2018	61570	150	-$111.33
08/12/2018	62010	150	-$304.10
08/12/2018	62020	150	"-$1,053.79"
08/12/2018	62099	150	$9.26
08/12/2018	62510	120	-$207.97
08/12/2018	62520	120	-$137.28
08/12/2018	62530	120	-$26.72
08/12/2018	62550	120	-$16.21
08/12/2018	62560	120	-$1.09
08/12/2018	63050	150	-$11.34
08/12/2018	64000	150	$141.68
08/12/2018	64010	150	$46.23
08/12/2018	65540	110	-$181.56
08/12/2018	65550	110	-$20.94
08/12/2018	65570	110	-$3.86
08/12/2018	65590	110	-$3.18
08/12/2018	65600	110	-$14.74
08/12/2018	65610	110	-$30.24
08/12/2018	65690	110	-$41.19
08/12/2018	65700	110	-$19.64
08/12/2018	65710	110	-$724.19
08/12/2018	65730	110	-$1.18
08/12/2018	65740	110	-$570.13
08/12/2018	65750	110	-$762.41
08/12/2018	65760	110	-$8.80
08/12/2018	66020	130	-$61.48
08/12/2018	66040	130	-$3.52
08/12/2018	66050	130	-$41.27
08/12/2018	66070	130	-$0.93
08/12/2018	66080	130	-$2.84
08/12/2018	66090	130	-$6.05
08/12/2018	66100	130	-$6.22
08/12/2018	66110	130	-$0.59
08/12/2018	66120	130	-$2.17
08/12/2018	66130	130	-$88.40
08/12/2018	66510	140	-$6.63
08/12/2018	66520	140	-$4.81
08/12/2018	66530	140	-$14.16
08/12/2018	66550	140	-$59.39
08/12/2018	68050	170	$2.72
08/12/2018	68060	170	-$59.55
09/12/2018	61510	150	-$64.54
09/12/2018	61520	150	-$376.23
09/12/2018	61530	150	-$27.32
09/12/2018	61540	150	-$1.25
09/12/2018	61550	150	-$100.86
09/12/2018	61560	150	-$2.91
09/12/2018	61570	150	-$111.33
09/12/2018	62010	150	-$304.10
09/12/2018	62020	150	"-$1,053.79"
09/12/2018	62099	150	$9.26
09/12/2018	62510	120	-$207.97
09/12/2018	62520	120	-$137.28
09/12/2018	62530	120	-$26.72
09/12/2018	62550	120	-$16.21
09/12/2018	62560	120	-$1.09
09/12/2018	63050	150	-$11.34
09/12/2018	64000	150	$141.68
09/12/2018	64010	150	$46.23
09/12/2018	65540	110	-$181.56
09/12/2018	65550	110	-$20.94
09/12/2018	65570	110	-$3.86
09/12/2018	65590	110	-$3.18
09/12/2018	65600	110	-$14.74
09/12/2018	65610	110	-$30.24
09/12/2018	65690	110	-$41.19
09/12/2018	65700	110	-$19.64
09/12/2018	65710	110	-$724.19
09/12/2018	65730	110	-$1.18
09/12/2018	65740	110	-$570.13
09/12/2018	65750	110	-$762.41
09/12/2018	65760	110	-$8.80
09/12/2018	66020	130	-$61.48
09/12/2018	66040	130	-$3.52
09/12/2018	66050	130	-$41.27
09/12/2018	66070	130	-$0.93
09/12/2018	66080	130	-$2.84
09/12/2018	66090	130	-$6.05
09/12/2018	66100	130	-$6.22
09/12/2018	66110	130	-$0.59
09/12/2018	66120	130	-$2.17
09/12/2018	66130	130	-$88.40
09/12/2018	66510	140	-$6.63
09/12/2018	66520	140	-$4.81
09/12/2018	66530	140	-$14.16
09/12/2018	66550	140	-$59.39
09/12/2018	68050	170	$2.72
09/12/2018	68060	170	-$59.55
10/12/2018	61510	150	-$64.54
10/12/2018	61520	150	-$376.23
10/12/2018	61530	150	-$27.32
10/12/2018	61540	150	-$1.25
10/12/2018	61550	150	-$100.86
10/12/2018	61560	150	-$2.91
10/12/2018	61570	150	-$111.33
10/12/2018	62010	150	-$304.10
10/12/2018	62020	150	"-$1,053.79"
10/12/2018	62099	150	$9.26
10/12/2018	62510	120	-$207.97
10/12/2018	62520	120	-$137.28
10/12/2018	62530	120	-$26.72
10/12/2018	62550	120	-$16.21
10/12/2018	62560	120	-$1.09
10/12/2018	63050	150	-$11.34
10/12/2018	64000	150	$141.68
10/12/2018	64010	150	$46.23
10/12/2018	65540	110	-$181.56
10/12/2018	65550	110	-$20.94
10/12/2018	65570	110	-$3.86
10/12/2018	65590	110	-$3.18
10/12/2018	65600	110	-$14.74
10/12/2018	65610	110	-$30.24
10/12/2018	65690	110	-$41.19
10/12/2018	65700	110	-$19.64
10/12/2018	65710	110	-$724.19
10/12/2018	65730	110	-$1.18
10/12/2018	65740	110	-$570.13
10/12/2018	65750	110	-$762.41
10/12/2018	65760	110	-$8.80
10/12/2018	66020	130	-$61.48
10/12/2018	66040	130	-$3.52
10/12/2018	66050	130	-$41.27
10/12/2018	66070	130	-$0.93
10/12/2018	66080	130	-$2.84
10/12/2018	66090	130	-$6.05
10/12/2018	66100	130	-$6.22
10/12/2018	66110	130	-$0.59
10/12/2018	66120	130	-$2.17
10/12/2018	66130	130	-$88.40
10/12/2018	66510	140	-$6.63
10/12/2018	66520	140	-$4.81
10/12/2018	66530	140	-$14.16
10/12/2018	66550	140	-$59.39
10/12/2018	68050	170	$2.72
10/12/2018	68060	170	-$59.55
10/12/2018	71010	120	"$1,189.40"
10/12/2018	71020	120	$804.76
10/12/2018	71030	120	$132.46
10/12/2018	71050	120	$11.98
10/12/2018	71060	120	$11.35
10/12/2018	71070	120	-$24.89
10/12/2018	71080	120	$19.52
10/12/2018	71160	150	$48.78
10/12/2018	71170	150	$405.83
10/12/2018	71180	150	-$0.95
10/12/2018	71190	150	$2.60
10/12/2018	71200	150	$112.66
10/12/2018	71240	150	"$1,447.37"
10/12/2018	71299	150	-$47.59
10/12/2018	71310	150	"$3,653.22"
10/12/2018	71325	150	-$407.09
10/12/2018	71550	150	$219.47
10/12/2018	71560	140	-$151.17
10/12/2018	72010	110	"$2,983.01"
10/12/2018	72020	110	"$3,294.52"
10/12/2018	72050	140	$440.07
10/12/2018	72060	150	"$2,032.60"
10/12/2018	72070	150	"$3,354.56"
10/12/2018	72090	150	"$1,211.06"
10/12/2018	72110	160	"$3,266.02"
10/12/2018	72120	160	"$4,055.70"
10/12/2018	72130	160	"-$1,343.96"
10/12/2018	72140	160	"$1,644.85"
10/12/2018	72150	165	"$1,812.71"
10/12/2018	72160	170	"$2,883.44"
10/12/2018	72340	110	"$4,365.76"
10/12/2018	72340	150	"$3,243.52"
10/12/2018	72340	160	"$4,465.44"
10/12/2018	72340	165	$578.20
10/12/2018	72340	170	"$1,704.92"
10/12/2018	72999	150	-$223.77
10/12/2018	73010	110	$268.86
10/12/2018	73010	140	$9.91
10/12/2018	73010	150	$329.90
10/12/2018	73010	160	$315.94
10/12/2018	73010	165	$85.30
10/12/2018	73010	170	-$630.55
10/12/2018	73020	110	$140.14
10/12/2018	73020	140	$5.04
10/12/2018	73020	150	$198.02
10/12/2018	73020	160	$141.06
10/12/2018	73020	165	$46.34
10/12/2018	73020	170	$43.97
10/12/2018	73030	150	-$196.00
10/12/2018	73030	160	$22.40
10/12/2018	73030	170	$117.60
10/12/2018	73035	110	$70.24
10/12/2018	73035	150	$76.13
10/12/2018	73035	160	$102.45
10/12/2018	73035	165	$28.66
10/12/2018	73035	170	$26.28
10/12/2018	73040	110	$220.08
10/12/2018	73040	150	$229.08
10/12/2018	73040	160	$156.24
10/12/2018	73040	165	$45.36
10/12/2018	73040	170	$84.00
10/12/2018	73050	110	$11.04
10/12/2018	73050	140	$1.92
10/12/2018	73050	150	$79.02
10/12/2018	73050	160	$1.37
10/12/2018	73050	165	$21.78
10/12/2018	73050	170	$17.93
10/12/2018	73060	110	$60.48
10/12/2018	73060	150	$60.79
10/12/2018	73070	110	$613.06
10/12/2018	73070	150	$308.24
10/12/2018	73070	160	$212.06
10/12/2018	73070	165	$50.50
10/12/2018	73070	170	$50.50
10/12/2018	80990	110	"$1,743.16"
10/12/2018	81010	110	$84.00
10/12/2018	81030	160	$78.33
10/12/2018	81050	160	"$1,070.33"
10/12/2018	81060	160	"$2,172.88"
10/12/2018	81080	160	-$2.10
10/12/2018	81090	160	$57.76
10/12/2018	81100	160	-$60.43
10/12/2018	81110	160	$20.74
10/12/2018	81130	160	$102.78
10/12/2018	81140	160	-$285.60
10/12/2018	81150	160	$851.16
10/12/2018	81160	160	$109.31
10/12/2018	81170	160	$95.48
10/12/2018	81180	160	"$1,933.75"
10/12/2018	81190	160	$61.84
10/12/2018	81200	160	$170.97
10/12/2018	81210	160	-$114.60
10/12/2018	81220	160	$74.84
10/12/2018	81230	160	$43.36
10/12/2018	81240	160	$94.08
10/12/2018	81250	160	$86.68
10/12/2018	81270	160	$855.15
10/12/2018	81280	160	$108.19
10/12/2018	81330	160	$95.87
10/12/2018	81350	160	$13.20
10/12/2018	81900	165	$195.82
10/12/2018	82010	130	$393.01
10/12/2018	82050	150	$74.71
10/12/2018	82060	170	$906.24
10/12/2018	82070	150	$16.81
10/12/2018	83010	170	$26.58
10/12/2018	83020	130	$112.00
10/12/2018	83020	160	$465.79
10/12/2018	83020	170	$433.56
10/12/2018	83030	150	$225.81
10/12/2018	83050	170	$362.69
10/12/2018	83060	170	$90.62
10/12/2018	83070	170	$236.82
10/12/2018	84020	130	$279.72
10/12/2018	84020	170	$226.03
10/12/2018	85010	170	$263.91
10/12/2018	85510	170	$754.19
10/12/2018	86010	110	$250.45
10/12/2018	86010	150	$202.86
10/12/2018	86010	160	$65.99
10/12/2018	86010	165	$76.85
10/12/2018	86020	110	$33.75
10/12/2018	86020	120	$15.25
10/12/2018	86020	170	$19.42
10/12/2018	86030	110	$13.27
10/12/2018	86030	150	$141.34
10/12/2018	86040	110	$150.54
10/12/2018	86040	150	$98.32
10/12/2018	86050	110	$155.88
10/12/2018	86050	150	$102.42
10/12/2018	86050	160	$84.04
10/12/2018	86100	110	$72.47
10/12/2018	86100	150	$195.51
10/12/2018	86100	160	$29.09
10/12/2018	86100	170	$241.89
10/12/2018	86140	110	$99.90
10/12/2018	86150	110	$70.00
10/12/2018	86180	160	$37.33
10/12/2018	86200	150	$17.77
10/12/2018	86200	160	$37.19
10/12/2018	86270	150	$50.23
10/12/2018	86280	150	$451.70
10/12/2018	86290	150	$207.91
10/12/2018	86290	170	$48.57
10/12/2018	86310	150	$234.34
10/12/2018	86320	150	$56.50
10/12/2018	86330	150	$558.58
10/12/2018	86350	150	$112.50
10/12/2018	86360	150	$252.00
10/12/2018	86450	170	$58.39
11/12/2018	61510	150	-$64.54
11/12/2018	61520	150	-$376.23
11/12/2018	61530	150	-$27.32
11/12/2018	61540	150	-$1.25
11/12/2018	61550	150	-$100.86
11/12/2018	61560	150	-$2.91
11/12/2018	61570	150	-$111.33
11/12/2018	62010	150	-$304.10
11/12/2018	62020	150	"-$1,053.79"
11/12/2018	62099	150	$9.26
11/12/2018	62510	120	-$207.97
11/12/2018	62520	120	-$137.28
11/12/2018	62530	120	-$26.72
11/12/2018	62550	120	-$16.21
11/12/2018	62560	120	-$1.09
11/12/2018	63050	150	-$11.34
11/12/2018	64000	150	$141.68
