Papeleria La Grandiosa
Reporte anual de ventas 2019

Fecha	Cuenta	Depto	Suma	
03/12/2019	65610	110	-$28.96	
03/12/2019	65650	110	-$2.13	
03/12/2019	65690	110	-$34.80	
03/12/2019	65700	110	-$65.98	
03/12/2019	65710	110	-$569.01	
03/12/2019	65730	110	-$0.92	
03/12/2019	65740	110	-$476.80	
03/12/2019	65750	110	-$599.04	
03/12/2019	65760	110	-$6.92	
03/12/2019	66010	130	-$2.23	
03/12/2019	66020	130	-$29.99	
03/12/2019	66040	130	-$8.75	
03/12/2019	66050	130	-$44.98	
03/12/2019	66070	130	-$0.31	
03/12/2019	66080	130	-$2.23	
03/12/2019	66100	130	-$4.87	
03/12/2019	66110	130	-$0.46	
03/12/2019	66120	130	-$1.71	
03/12/2019	66130	130	-$69.42	
03/12/2019	66140	130	$12.56	
03/12/2019	66510	140	-$7.19	
03/12/2019	66520	140	-$1.89	
03/12/2019	66530	140	-$7.62	
03/12/2019	68050	170	$0.34	
03/12/2019	68060	170	-$46.79	
03/12/2019	71010	120	$399.20	
03/12/2019	71020	120	"$1,022.92"	
03/12/2019	71030	120	-$51.52	
03/12/2019	71050	120	$66.50	
03/12/2019	71060	120	-$85.11	
03/12/2019	71070	120	-$1.91	
03/12/2019	71080	120	$24.98	
03/12/2019	71160	150	$88.51	
03/12/2019	71170	150	$122.47	
03/12/2019	71180	150	$296.01	
03/12/2019	71190	150	-$0.22	
03/12/2019	71200	150	$22.46	
03/12/2019	71240	150	$643.40	
03/12/2019	71299	150	-$14.45	
03/12/2019	71310	150	"$1,273.62"	
03/12/2019	71325	150	-$461.62	
03/12/2019	71550	150	$310.02	
03/12/2019	71560	140	$88.00	
03/12/2019	72010	110	"$2,193.98"	
03/12/2019	72020	110	"$2,594.11"	
03/12/2019	72040	130	$379.78	
03/12/2019	72050	140	$101.10	
03/12/2019	72060	150	"$2,167.43"	
03/12/2019	72070	150	"$2,324.30"	
03/12/2019	72090	150	"$1,074.12"	
03/12/2019	72110	160	"$2,376.48"	
03/12/2019	72120	160	"$2,520.57"	
03/12/2019	72130	160	$142.26	
03/12/2019	72140	160	$638.33	
03/12/2019	72150	165	"$1,810.20"	
03/12/2019	72160	170	"$1,327.10"	
03/12/2019	72999	150	-$259.67	
03/12/2019	73010	110	$142.60	
03/12/2019	73010	130	$18.70	
03/12/2019	73010	140	$7.62	
03/12/2019	73010	150	$142.41	
03/12/2019	73010	160	$149.96	
03/12/2019	73010	165	$70.55	
03/12/2019	73010	170	$119.42	
03/12/2019	73020	110	$72.11	
03/12/2019	73020	130	$9.68	
03/12/2019	73020	140	$3.88	
03/12/2019	73020	150	$84.05	
03/12/2019	73020	160	$68.57	
03/12/2019	73020	165	$30.25	
03/12/2019	73020	170	$16.02	
03/12/2019	73030	110	$198.00	
03/12/2019	73030	150	$382.80	
03/12/2019	73030	160	$162.80	
03/12/2019	73030	165	$61.60	
03/12/2019	73035	110	$151.20	
03/12/2019	73035	150	$135.20	
03/12/2019	73035	160	$190.62	
03/12/2019	73035	165	$56.24	
03/12/2019	73035	170	$49.24	
03/12/2019	73040	110	$172.92	
03/12/2019	73040	150	$236.28	
03/12/2019	73040	160	$122.76	
03/12/2019	73040	165	$35.64	
03/12/2019	73050	110	$41.53	
03/12/2019	73050	130	$3.74	
03/12/2019	73050	140	$1.47	
03/12/2019	73050	150	$57.05	
03/12/2019	73050	160	$56.14	
03/12/2019	73050	165	$18.37	
03/12/2019	73050	170	$16.08	
03/12/2019	73060	150	$39.68	
03/12/2019	80990	110	"$1,440.31"	
03/12/2019	81010	110	$51.70	
03/12/2019	81050	160	$150.70	
03/12/2019	81090	160	$4.26	
03/12/2019	81100	160	$175.98	
03/12/2019	81110	160	$18.85	
03/12/2019	81140	160	$133.50	
03/12/2019	81150	160	$120.55	
03/12/2019	81170	160	$28.53	
03/12/2019	81180	160	-$906.40	
03/12/2019	81190	160	$3.26	
03/12/2019	81200	160	$6.92	
03/12/2019	81210	160	$46.98	
03/12/2019	81220	160	$49.21	
03/12/2019	81230	160	$50.14	
03/12/2019	81260	160	$83.63	
03/12/2019	81270	160	$264.76	
03/12/2019	81280	160	$68.42	
03/12/2019	81350	160	$10.37	
03/12/2019	81900	165	$280.54	
03/12/2019	82010	130	$426.68	
03/12/2019	82050	150	$85.65	
03/12/2019	82060	170	$475.66	
03/12/2019	82070	150	$71.46	
03/12/2019	82080	170	$31.22	
03/12/2019	83010	170	$107.76	
03/12/2019	83020	130	$88.00	
03/12/2019	83020	160	$222.88	
03/12/2019	83020	170	$276.06	
03/12/2019	83030	150	$181.97	
03/12/2019	83050	170	$281.18	
03/12/2019	83060	170	$71.20	
03/12/2019	83070	170	$189.72	
03/12/2019	84020	130	$219.78	
03/12/2019	84020	170	$177.60	
03/12/2019	85010	170	$109.24	
03/12/2019	85510	170	$592.58	
03/12/2019	86010	110	$208.32	
03/12/2019	86010	130	$7.92	
03/12/2019	86010	150	$341.13	
03/12/2019	86010	160	$56.35	
03/12/2019	86010	165	$103.81	
03/12/2019	86010	170	$2.97	
03/12/2019	86020	110	$33.95	
03/12/2019	86020	150	$20.57	
03/12/2019	86030	110	-$117.83	
03/12/2019	86030	150	$27.45	
03/12/2019	86040	110	$401.27	
03/12/2019	86040	150	$277.88	
03/12/2019	86050	110	$123.88	
03/12/2019	86050	150	$61.73	
03/12/2019	86050	160	$32.21	
03/12/2019	86090	160	$85.80	
03/12/2019	86100	110	$140.22	
03/12/2019	86100	150	$44.91	
03/12/2019	86100	160	$41.66	
03/12/2019	86100	170	$62.29	
03/12/2019	86150	110	$113.44	
03/12/2019	86180	140	$60.86	
03/12/2019	86200	110	$32.84	
03/12/2019	86200	160	$30.54	
03/12/2019	86260	120	$19.51	
03/12/2019	86270	150	$78.96	
03/12/2019	86280	150	$10.21	
03/12/2019	86290	150	$177.23	
03/12/2019	86290	170	$42.56	
03/12/2019	86310	150	$101.46	
03/12/2019	86330	150	$335.95	
03/12/2019	86350	150	-$22.75	
03/12/2019	86360	150	$55.00	
03/12/2019	86420	170	$68.87	
03/12/2019	86450	170	$88.12	
03/12/2019	86820	170	$33.91	
04/12/2019	61510	150	-$24.28	
04/12/2019	61520	150	-$167.00	
04/12/2019	61530	150	-$13.64	
04/12/2019	61540	150	-$1.01	
04/12/2019	61550	150	-$68.06	
04/12/2019	61560	150	-$1.76	
04/12/2019	61570	150	-$139.73	
04/12/2019	62010	150	-$312.22	
04/12/2019	62020	150	-$265.60	
04/12/2019	62099	150	$20.25	
04/12/2019	62510	120	-$77.64	
04/12/2019	62520	120	-$80.87	
04/12/2019	62530	120	$3.00	
04/12/2019	62550	120	-$17.05	
04/12/2019	62560	120	-$1.60	
04/12/2019	63050	150	-$11.96	
04/12/2019	64000	150	$198.78	
04/12/2019	64010	150	$2.07	
04/12/2019	64020	150	$0.91	
04/12/2019	65540	110	-$79.63	
04/12/2019	65550	110	-$34.25	
04/12/2019	65590	110	-$6.66	
04/12/2019	65600	110	-$13.23	
04/12/2019	65610	110	-$28.96	
04/12/2019	65650	110	-$2.13	
04/12/2019	65690	110	-$34.80	
04/12/2019	65700	110	-$65.98	
04/12/2019	65710	110	-$569.01	
04/12/2019	65730	110	-$0.92	
04/12/2019	65740	110	-$476.80	
04/12/2019	65750	110	-$599.04	
04/12/2019	65760	110	-$6.92	
04/12/2019	66010	130	-$2.23	
04/12/2019	66020	130	-$29.99	
04/12/2019	66040	130	-$8.75	
04/12/2019	66050	130	-$44.98	
04/12/2019	66070	130	-$0.31	
04/12/2019	66080	130	-$2.23	
04/12/2019	66100	130	-$4.87	
04/12/2019	66110	130	-$0.46	
04/12/2019	66120	130	-$1.71	
04/12/2019	66130	130	-$69.42	
04/12/2019	66140	130	$12.56	
04/12/2019	66510	140	-$7.19	
04/12/2019	66520	140	-$1.89	
04/12/2019	66530	140	-$7.62	
04/12/2019	68050	170	$0.34	
04/12/2019	68060	170	-$46.79	
05/12/2019	61510	150	-$32.36	
05/12/2019	61520	150	-$222.66	
05/12/2019	61530	150	-$18.18	
05/12/2019	61540	150	-$1.34	
05/12/2019	61550	150	-$90.75	
05/12/2019	61560	150	-$2.34	
05/12/2019	61570	150	-$186.31	
05/12/2019	62010	150	-$416.30	
05/12/2019	62020	150	-$354.12	
05/12/2019	62099	150	$26.99	
05/12/2019	62510	120	-$103.51	
05/12/2019	62520	120	-$107.83	
05/12/2019	62530	120	$4.02	
05/12/2019	62550	120	-$22.73	
05/12/2019	62560	120	-$2.13	
05/12/2019	63050	150	-$15.94	
05/12/2019	64000	150	$265.03	
05/12/2019	64010	150	$2.75	
05/12/2019	64020	150	$1.22	
05/12/2019	65540	110	-$106.17	
05/12/2019	65550	110	-$45.67	
05/12/2019	65590	110	-$8.87	
05/12/2019	65600	110	-$17.64	
05/12/2019	65610	110	-$38.61	
05/12/2019	65650	110	-$2.85	
05/12/2019	65690	110	-$46.41	
05/12/2019	65700	110	-$87.97	
05/12/2019	65710	110	-$758.68	
05/12/2019	65730	110	-$1.24	
05/12/2019	65740	110	-$635.72	
05/12/2019	65750	110	-$798.71	
05/12/2019	65760	110	-$9.23	
05/12/2019	66010	130	-$2.97	
05/12/2019	66020	130	-$39.99	
05/12/2019	66040	130	-$11.66	
05/12/2019	66050	130	-$59.97	
05/12/2019	66070	130	-$0.41	
05/12/2019	66080	130	-$2.97	
05/12/2019	66100	130	-$6.50	
05/12/2019	66110	130	-$0.62	
05/12/2019	66120	130	-$2.28	
05/12/2019	66130	130	-$92.57	
05/12/2019	66140	130	$16.74	
05/12/2019	66510	140	-$9.59	
05/12/2019	66520	140	-$2.52	
05/12/2019	66530	140	-$10.15	
05/12/2019	68050	170	$0.45	
05/12/2019	68060	170	-$62.39	
06/12/2019	61510	150	-$76.25	
06/12/2019	61520	150	-$444.51	
06/12/2019	61530	150	-$32.27	
06/12/2019	61540	150	-$1.47	
06/12/2019	61550	150	-$119.16	
06/12/2019	61560	150	-$3.43	
06/12/2019	61570	150	-$131.54	
06/12/2019	62010	150	-$359.28	
06/12/2019	62020	150	"-$1,245.02"	
06/12/2019	62099	150	$10.95	
06/12/2019	62510	120	-$245.72	
06/12/2019	62520	120	-$162.20	
06/12/2019	62530	120	-$31.57	
06/12/2019	62550	120	-$19.15	
06/12/2019	62560	120	-$1.28	
06/12/2019	63050	150	-$13.40	
06/12/2019	64000	150	$167.40	
06/12/2019	64010	150	$54.62	
06/12/2019	65540	110	-$214.51	
06/12/2019	65550	110	-$24.74	
06/12/2019	65570	110	-$4.55	
06/12/2019	65590	110	-$3.75	
06/12/2019	65600	110	-$17.41	
06/12/2019	65610	110	-$35.73	
06/12/2019	65690	110	-$48.66	
06/12/2019	65700	110	-$23.21	
06/12/2019	65710	110	-$855.62	
06/12/2019	65730	110	-$1.40	
06/12/2019	65740	110	-$673.60	
06/12/2019	65750	110	-$900.77	
06/12/2019	65760	110	-$10.41	
06/12/2019	66020	130	-$72.64	
06/12/2019	66040	130	-$4.16	
06/12/2019	66050	130	-$48.75	
06/12/2019	66070	130	-$1.10	
06/12/2019	66080	130	-$3.36	
06/12/2019	66090	130	-$7.15	
06/12/2019	66100	130	-$7.35	
06/12/2019	66110	130	-$0.69	
06/12/2019	66120	130	-$2.57	
06/12/2019	66130	130	-$104.45	
06/12/2019	66510	140	-$7.83	
06/12/2019	66520	140	-$5.69	
06/12/2019	66530	140	-$16.72	
06/12/2019	66550	140	-$70.16	
06/12/2019	68050	170	$3.22	
06/12/2019	68060	170	-$70.36	
07/12/2019	61510	150	-$70.99	
07/12/2019	61520	150	-$413.85	
07/12/2019	61530	150	-$30.05	
07/12/2019	61540	150	-$1.38	
07/12/2019	61550	150	-$110.95	
07/12/2019	61560	150	-$3.20	
07/12/2019	61570	150	-$122.46	
07/12/2019	62010	150	-$334.51	
07/12/2019	62020	150	"-$1,159.17"	
07/12/2019	62099	150	$10.19	
07/12/2019	62510	120	-$228.77	
07/12/2019	62520	120	-$151.01	
07/12/2019	62530	120	-$29.39	
07/12/2019	62550	120	-$17.83	
07/12/2019	62560	120	-$1.20	
07/12/2019	63050	150	-$12.47	
07/12/2019	64000	150	$155.85	
07/12/2019	64010	150	$50.85	
07/12/2019	65540	110	-$199.72	
07/12/2019	65550	110	-$23.03	
07/12/2019	65570	110	-$4.25	
07/12/2019	65590	110	-$3.50	
07/12/2019	65600	110	-$16.21	
07/12/2019	65610	110	-$33.26	
07/12/2019	65690	110	-$45.31	
07/12/2019	65700	110	-$21.60	
07/12/2019	65710	110	-$796.61	
07/12/2019	65730	110	-$1.30	
07/12/2019	65740	110	-$627.14	
07/12/2019	65750	110	-$838.65	
07/12/2019	65760	110	-$9.68	
07/12/2019	66020	130	-$67.63	
07/12/2019	66040	130	-$3.87	
07/12/2019	66050	130	-$45.40	
07/12/2019	66070	130	-$1.02	
07/12/2019	66080	130	-$3.12	
07/12/2019	66090	130	-$6.66	
07/12/2019	66100	130	-$6.84	
07/12/2019	66110	130	-$0.65	
07/12/2019	66120	130	-$2.39	
07/12/2019	66130	130	-$97.24	
07/12/2019	66510	140	-$7.29	
07/12/2019	66520	140	-$5.29	
07/12/2019	66530	140	-$15.58	
07/12/2019	66550	140	-$65.33	
07/12/2019	68050	170	$2.99	
07/12/2019	68060	170	-$65.51	
08/12/2019	61510	150	-$70.99	
08/12/2019	61520	150	-$413.85	
08/12/2019	61530	150	-$30.05	
08/12/2019	61540	150	-$1.38	
08/12/2019	61550	150	-$110.95	
08/12/2019	61560	150	-$3.20	
08/12/2019	61570	150	-$122.46	
08/12/2019	62010	150	-$334.51	
08/12/2019	62020	150	"-$1,159.17"	
08/12/2019	62099	150	$10.19	
08/12/2019	62510	120	-$228.77	
08/12/2019	62520	120	-$151.01	
08/12/2019	62530	120	-$29.39	
08/12/2019	62550	120	-$17.83	
08/12/2019	62560	120	-$1.20	
08/12/2019	63050	150	-$12.47	
08/12/2019	64000	150	$155.85	
08/12/2019	64010	150	$50.85	
08/12/2019	65540	110	-$199.72	
08/12/2019	65550	110	-$23.03	
08/12/2019	65570	110	-$4.25	
08/12/2019	65590	110	-$3.50	
08/12/2019	65600	110	-$16.21	
08/12/2019	65610	110	-$33.26	
08/12/2019	65690	110	-$45.31	
08/12/2019	65700	110	-$21.60	
08/12/2019	65710	110	-$796.61	
08/12/2019	65730	110	-$1.30	
08/12/2019	65740	110	-$627.14	
08/12/2019	65750	110	-$838.65	
08/12/2019	65760	110	-$9.68	
08/12/2019	66020	130	-$67.63	
08/12/2019	66040	130	-$3.87	
08/12/2019	66050	130	-$45.40	
08/12/2019	66070	130	-$1.02	
08/12/2019	66080	130	-$3.12	
08/12/2019	66090	130	-$6.66	
08/12/2019	66100	130	-$6.84	
08/12/2019	66110	130	-$0.65	
08/12/2019	66120	130	-$2.39	
08/12/2019	66130	130	-$97.24	
08/12/2019	66510	140	-$7.29	
08/12/2019	66520	140	-$5.29	
08/12/2019	66530	140	-$15.58	
08/12/2019	66550	140	-$65.33	
08/12/2019	68050	170	$2.99	
08/12/2019	68060	170	-$65.51	
09/12/2019	61510	150	-$70.99	
09/12/2019	61520	150	-$413.85	
09/12/2019	61530	150	-$30.05	
09/12/2019	61540	150	-$1.38	
09/12/2019	61550	150	-$110.95	
09/12/2019	61560	150	-$3.20	
09/12/2019	61570	150	-$122.46	
09/12/2019	62010	150	-$334.51	
09/12/2019	62020	150	"-$1,159.17"	
09/12/2019	62099	150	$10.19	
09/12/2019	62510	120	-$228.77	
09/12/2019	62520	120	-$151.01	
09/12/2019	62530	120	-$29.39	
09/12/2019	62550	120	-$17.83	
09/12/2019	62560	120	-$1.20	
09/12/2019	63050	150	-$12.47	
09/12/2019	64000	150	$155.85	
09/12/2019	64010	150	$50.85	
09/12/2019	65540	110	-$199.72	
09/12/2019	65550	110	-$23.03	
09/12/2019	65570	110	-$4.25	
09/12/2019	65590	110	-$3.50	
09/12/2019	65600	110	-$16.21	
09/12/2019	65610	110	-$33.26	
09/12/2019	65690	110	-$45.31	
09/12/2019	65700	110	-$21.60	
09/12/2019	65710	110	-$796.61	
09/12/2019	65730	110	-$1.30	
09/12/2019	65740	110	-$627.14	
09/12/2019	65750	110	-$838.65	
09/12/2019	65760	110	-$9.68	
09/12/2019	66020	130	-$67.63	
09/12/2019	66040	130	-$3.87	
09/12/2019	66050	130	-$45.40	
09/12/2019	66070	130	-$1.02	
09/12/2019	66080	130	-$3.12	
09/12/2019	66090	130	-$6.66	
09/12/2019	66100	130	-$6.84	
09/12/2019	66110	130	-$0.65	
09/12/2019	66120	130	-$2.39	
09/12/2019	66130	130	-$97.24	
09/12/2019	66510	140	-$7.29	
09/12/2019	66520	140	-$5.29	
09/12/2019	66530	140	-$15.58	
09/12/2019	66550	140	-$65.33	
09/12/2019	68050	170	$2.99	
09/12/2019	68060	170	-$65.51	
10/12/2019	61510	150	-$70.99	
10/12/2019	61520	150	-$413.85	
10/12/2019	61530	150	-$30.05	
10/12/2019	61540	150	-$1.38	
10/12/2019	61550	150	-$110.95	
10/12/2019	61560	150	-$3.20	
10/12/2019	61570	150	-$122.46	
10/12/2019	62010	150	-$334.51	
10/12/2019	62020	150	"-$1,159.17"	
10/12/2019	62099	150	$10.19	
10/12/2019	62510	120	-$228.77	
10/12/2019	62520	120	-$151.01	
10/12/2019	62530	120	-$29.39	
10/12/2019	62550	120	-$17.83	
10/12/2019	62560	120	-$1.20	
10/12/2019	63050	150	-$12.47	
10/12/2019	64000	150	$155.85	
10/12/2019	64010	150	$50.85	
10/12/2019	65540	110	-$199.72	
10/12/2019	65550	110	-$23.03	
10/12/2019	65570	110	-$4.25	
10/12/2019	65590	110	-$3.50	
10/12/2019	65600	110	-$16.21	
10/12/2019	65610	110	-$33.26	
10/12/2019	65690	110	-$45.31	
10/12/2019	65700	110	-$21.60	
10/12/2019	65710	110	-$796.61	
10/12/2019	65730	110	-$1.30	
10/12/2019	65740	110	-$627.14	
10/12/2019	65750	110	-$838.65	
10/12/2019	65760	110	-$9.68	
10/12/2019	66020	130	-$67.63	
10/12/2019	66040	130	-$3.87	
10/12/2019	66050	130	-$45.40	
10/12/2019	66070	130	-$1.02	
10/12/2019	66080	130	-$3.12	
10/12/2019	66090	130	-$6.66	
10/12/2019	66100	130	-$6.84	
10/12/2019	66110	130	-$0.65	
10/12/2019	66120	130	-$2.39	
10/12/2019	66130	130	-$97.24	
10/12/2019	66510	140	-$7.29	
10/12/2019	66520	140	-$5.29	
10/12/2019	66530	140	-$15.58	
10/12/2019	66550	140	-$65.33	
10/12/2019	68050	170	$2.99	
10/12/2019	68060	170	-$65.51	
10/12/2019	71010	120	"$1,308.34"	
10/12/2019	71020	120	$885.24	
10/12/2019	71030	120	$145.71	
10/12/2019	71050	120	$13.18	
10/12/2019	71060	120	$12.49	
10/12/2019	71070	120	-$27.38	
10/12/2019	71080	120	$21.47	
10/12/2019	71160	150	$53.66	
10/12/2019	71170	150	$446.41	
10/12/2019	71180	150	-$1.05	
10/12/2019	71190	150	$2.86	
10/12/2019	71200	150	$123.93	
10/12/2019	71240	150	"$1,592.11"	
10/12/2019	71299	150	-$52.35	
10/12/2019	71310	150	"$4,018.54"	
10/12/2019	71325	150	-$447.80	
10/12/2019	71550	150	$241.42	
10/12/2019	71560	140	-$166.29	
10/12/2019	72010	110	"$3,281.31"	
10/12/2019	72020	110	"$3,623.97"	
10/12/2019	72050	140	$484.08	
10/12/2019	72060	150	"$2,235.86"	
10/12/2019	72070	150	"$3,690.02"	
10/12/2019	72090	150	"$1,332.17"	
10/12/2019	72110	160	"$3,592.62"	
10/12/2019	72120	160	"$4,461.27"	
10/12/2019	72130	160	"-$1,478.36"	
10/12/2019	72140	160	"$1,809.34"	
10/12/2019	72150	165	"$1,993.98"	
10/12/2019	72160	170	"$3,171.78"	
10/12/2019	72340	110	"$4,802.34"	
10/12/2019	72340	150	"$3,567.87"	
10/12/2019	72340	160	"$4,911.98"	
10/12/2019	72340	165	$636.02	
10/12/2019	72340	170	"$1,875.41"	
10/12/2019	72999	150	-$246.15	
10/12/2019	73010	110	$295.75	
10/12/2019	73010	140	$10.90	
10/12/2019	73010	150	$362.89	
10/12/2019	73010	160	$347.53	
10/12/2019	73010	165	$93.83	
10/12/2019	73010	170	-$693.61	
10/12/2019	73020	110	$154.15	
10/12/2019	73020	140	$5.54	
10/12/2019	73020	150	$217.82	
10/12/2019	73020	160	$155.17	
10/12/2019	73020	165	$50.97	
10/12/2019	73020	170	$48.37	
10/12/2019	73030	150	-$215.60	
10/12/2019	73030	160	$24.64	
10/12/2019	73030	170	$129.36	
10/12/2019	73035	110	$77.26	
10/12/2019	73035	150	$83.74	
10/12/2019	73035	160	$112.70	
10/12/2019	73035	165	$31.53	
10/12/2019	73035	170	$28.91	
10/12/2019	73040	110	$242.09	
10/12/2019	73040	150	$251.99	
10/12/2019	73040	160	$171.86	
10/12/2019	73040	165	$49.90	
10/12/2019	73040	170	$92.40	
10/12/2019	73050	110	$12.14	
10/12/2019	73050	140	$2.11	
10/12/2019	73050	150	$86.92	
10/12/2019	73050	160	$1.51	
10/12/2019	73050	165	$23.96	
10/12/2019	73050	170	$19.72	
10/12/2019	73060	110	$66.53	
10/12/2019	73060	150	$66.87	
10/12/2019	73070	110	$674.37	
10/12/2019	73070	150	$339.06	
10/12/2019	73070	160	$233.27	
10/12/2019	73070	165	$55.55	
10/12/2019	73070	170	$55.55	
10/12/2019	80990	110	"$1,917.48"	
10/12/2019	81010	110	$92.40	
10/12/2019	81030	160	$86.16	
10/12/2019	81050	160	"$1,177.36"	
10/12/2019	81060	160	"$2,390.17"	
10/12/2019	81080	160	-$2.31	
10/12/2019	81090	160	$63.54	
10/12/2019	81100	160	-$66.47	
10/12/2019	81110	160	$22.81	
10/12/2019	81130	160	$113.06	
10/12/2019	81140	160	-$314.16	
10/12/2019	81150	160	$936.28	
10/12/2019	81160	160	$120.24	
10/12/2019	81170	160	$105.03	
10/12/2019	81180	160	"$2,127.13"	
10/12/2019	81190	160	$68.02	
10/12/2019	81200	160	$188.07	
10/12/2019	81210	160	-$126.06	
10/12/2019	81220	160	$82.32	
10/12/2019	81230	160	$47.70	
10/12/2019	81240	160	$103.49	
10/12/2019	81250	160	$95.35	
10/12/2019	81270	160	$940.67	
10/12/2019	81280	160	$119.01	
10/12/2019	81330	160	$105.46	
10/12/2019	81350	160	$14.52	
10/12/2019	81900	165	$215.40	
10/12/2019	82010	130	$432.31	
10/12/2019	82050	150	$82.18	
10/12/2019	82060	170	$996.86	
10/12/2019	82070	150	$18.49	
10/12/2019	83010	170	$29.24	
10/12/2019	83020	130	$123.20	
10/12/2019	83020	160	$512.37	
10/12/2019	83020	170	$476.92	
10/12/2019	83030	150	$248.39	
10/12/2019	83050	170	$398.96	
10/12/2019	83060	170	$99.68	
10/12/2019	83070	170	$260.50	
10/12/2019	84020	130	$307.69	
10/12/2019	84020	170	$248.63	
10/12/2019	85010	170	$290.30	
10/12/2019	85510	170	$829.61	
10/12/2019	86010	110	$275.50	
10/12/2019	86010	150	$223.15	
10/12/2019	86010	160	$72.59	
10/12/2019	86010	165	$84.54	
10/12/2019	86020	110	$37.13	
10/12/2019	86020	120	$16.78	
10/12/2019	86020	170	$21.36	
